Filename, Package, Minor, Major, Total, Ownership, #Bugs
IgnoreAcceptDocsQuery.java,org.apache.solr.search.join,0,2,2,0.50,2
BaseFieldInfoFormatTestCase.java,org.apache.lucene.index,0,2,2,0.75,0
AbstractBlockPackedWriter.java,org.apache.lucene.util.packed,0,1,1,1.00,0
Lucene50DocValuesFormat.java,org.apache.lucene.codecs.lucene50,0,3,3,0.67,0
SolrXmlInZkTest.java,org.apache.solr.cloud,0,6,6,0.33,0
FilterCodecReader.java,org.apache.lucene.index,0,1,1,1.00,0
TestPerSegmentDeletes.java,org.apache.lucene.index,0,6,6,0.17,1
CloudMLTQParserTest.java,org.apache.solr.search.mlt,0,2,2,0.83,2
NGramTokenizerTest.java,org.apache.lucene.analysis.ngram,0,3,3,0.50,0
SlowFuzzyQuery.java,org.apache.lucene.sandbox.queries,0,1,1,1.00,0
CustomScoreProvider.java,org.apache.lucene.queries,0,2,2,0.50,1
MedianCalculator.java,org.apache.solr.analytics.util,0,1,1,1.00,0
TestASCIIFoldingFilter.java,org.apache.lucene.analysis.miscellaneous,0,2,2,0.67,0
QuadPrefixTree.java,org.apache.lucene.spatial.prefix.tree,0,3,3,0.50,0
BlockDirectoryCache.java,org.apache.solr.store.blockcache,0,2,2,0.75,0
NoDeletionPolicy.java,org.apache.lucene.index,0,0,0,0.00,0
Sample.java,org.apache.lucene.benchmark.byTask.programmatic,0,0,0,0.00,0
FunctionValues.java,org.apache.lucene.queries.function,0,2,2,0.50,1
TrivialLookaheadFilter.java,org.apache.lucene.analysis,0,1,1,1.00,0
DocSlice.java,org.apache.solr.search,0,0,0,0.00,0
LowerCaseFilter.java,org.apache.lucene.analysis.core,0,2,2,0.67,0
TestReverseStringFilterFactory.java,org.apache.lucene.analysis.reverse,0,1,1,1.00,0
TestRAFDirectory.java,org.apache.lucene.store,0,1,1,1.00,0
Directory.java,org.apache.lucene.store,0,4,4,0.70,2
TestNumericRangeFilterBuilder.java,org.apache.lucene.queryparser.xml.builders,0,4,4,0.40,0
TestFlagNum.java,org.apache.lucene.analysis.hunspell,0,1,1,1.00,0
ExpandComponent.java,org.apache.solr.handler.component,0,7,7,0.29,1
MultiDocsEnum.java,org.apache.lucene.index,0,1,1,1.00,0
GenerateJflexTLDMacros.java,org.apache.lucene.analysis.standard,0,2,2,0.50,0
TestPatternReplaceFilter.java,org.apache.lucene.analysis.pattern,0,1,1,1.00,0
LeafCollector.java,org.apache.lucene.search,0,2,2,0.60,0
DoubleMetaphoneFilterFactory.java,org.apache.lucene.analysis.phonetic,0,0,0,0.00,0
TestDocBuilder.java,org.apache.solr.handler.dataimport,0,2,2,0.50,0
TestContextImpl.java,org.apache.solr.handler.dataimport,0,0,0,0.00,0
DelimitedPayloadTokenFilterFactory.java,org.apache.lucene.analysis.payloads,0,0,0,0.00,0
PayloadAttribute.java,org.apache.lucene.analysis.tokenattributes,0,1,1,1.00,0
SpatialFilterQParser.java,org.apache.solr.search,0,1,1,1.00,0
TopFieldDocs.java,org.apache.lucene.search,0,0,0,0.00,0
BaseTokenStreamTestCase.java,org.apache.lucene.analysis,2,5,7,0.35,0
WarmTask.java,org.apache.lucene.benchmark.byTask.tasks,0,0,0,0.00,0
Optimizer.java,org.egothor.stemmer,0,1,1,1.00,0
PathNode.java,org.apache.lucene.analysis.cn.smart.hhmm,0,0,0,0.00,0
Insanity.java,org.apache.solr.search,0,3,3,0.57,0
EmptyTokenStream.java,org.apache.lucene.analysis.miscellaneous,0,0,0,0.00,0
NorwegianMinimalStemFilterFactory.java,org.apache.lucene.analysis.no,0,0,0,0.00,0
GalicianMinimalStemFilterFactory.java,org.apache.lucene.analysis.gl,0,0,0,0.00,0
TestByteBlockPool.java,org.apache.lucene.util,0,3,3,0.33,0
StrUtils.java,org.apache.solr.common.util,0,2,2,0.50,0
JavaUtilRegexCapabilities.java,org.apache.lucene.sandbox.queries.regex,0,1,1,1.00,0
QueryCommandResult.java,org.apache.solr.search.grouping.distributed.command,0,0,0,0.00,0
Metrics.java,org.apache.solr.store.blockcache,0,2,2,0.75,0
TestDirectory.java,org.apache.lucene.store,0,5,5,0.38,2
SegToken.java,org.apache.lucene.analysis.cn.smart.hhmm,0,0,0,0.00,0
TestAnalysisSPILoader.java,org.apache.lucene.analysis.util,0,1,1,1.00,0
AssertingSubDocsAtOnceCollector.java,org.apache.lucene.facet,0,2,2,0.67,1
NGramFilterFactory.java,org.apache.lucene.analysis.ngram,0,2,2,0.67,0
HindiAnalyzer.java,org.apache.lucene.analysis.hi,0,2,2,0.75,0
TopFieldCollector.java,org.apache.lucene.search,0,4,4,0.50,1
CachedIndexOutput.java,org.apache.solr.store.blockcache,0,4,4,0.40,0
NewCollationAnalyzerTask.java,org.apache.lucene.benchmark.byTask.tasks,0,1,1,1.00,0
CatalanStemmer.java,org.tartarus.snowball.ext,0,0,0,0.00,0
LongToEnglishContentSource.java,org.apache.lucene.benchmark.byTask.feeds,0,0,0,0.00,0
TestFilterLeafReader.java,org.apache.lucene.index,0,3,3,0.60,2
FilterOutputStream2.java,org.apache.lucene.mockfile,0,1,1,1.00,0
AssertingTermVectorsFormat.java,org.apache.lucene.codecs.asserting,0,3,3,0.80,0
TestPatternReplaceCharFilter.java,org.apache.lucene.analysis.pattern,0,2,2,0.67,0
PortugueseLightStemFilter.java,org.apache.lucene.analysis.pt,0,0,0,0.00,0
MultiTermAwareComponent.java,org.apache.lucene.analysis.util,0,0,0,0.00,0
TestCodecSupport.java,org.apache.solr.core,0,1,1,1.00,0
SolrQueryParserBase.java,org.apache.solr.parser,0,7,7,0.40,0
ToParentBlockJoinFieldComparator.java,org.apache.lucene.search.join,0,3,3,0.67,0
CachingWrapperFilter.java,org.apache.lucene.search,0,3,3,0.69,0
