ID|BRANCH|PROJECT|queue_r1|queue_r2|queue_r3|queue_r4|queue_r5|queue_r6|queue_r7|queue_r8
I03a8359c690ce00f0b3099155ada7aff5ad5c78a|master|openstack/nova|65|37|\N|\N|\N|\N|\N|\N
I03a856235d653cf8831740a344072a897719bfa6|master|openstack/nova|26|22|\N|\N|\N|\N|\N|\N
I03a8e2597c92514b0bbd23d8b3915c83ec42b5fb|master|openstack/nova|29|110|\N|\N|\N|\N|\N|\N
I03ad454092d3caa73d29e6d30d8033b45bc96136|master|openstack/swift|3|3|\N|\N|\N|\N|\N|\N
I03b462c4985517ff8a4d94f0e1acae4fabdc5d39|master|openstack/nova|55|17|\N|\N|\N|\N|\N|\N
I03b8eff0fd70ab65ac66d6f3221e8ced0a56db17|master|openstack/neutron|4|21|\N|\N|\N|\N|\N|\N
I03b9c5c64f4bd8bca78dfc83199ef17d9a7ea5b7|stable/juno|openstack/keystone|20|2|\N|\N|\N|\N|\N|\N
I03c22ff757d0ee1da9d69fa48cc4bdd036e6b13f|stable/mitaka|openstack/nova|7|\N|\N|\N|\N|\N|\N|\N
I03c22ff757d0ee1da9d69fa48cc4bdd036e6b13f|master|openstack/nova|26|27|25|\N|\N|\N|\N|\N
I03cc9c53c75feea8287d4354c7562d398134e0b8|master|openstack/nova|112|\N|\N|\N|\N|\N|\N|\N
I03d49e9194223dbea162be4239fa339ab0a0ff4b|master|openstack/cinder|50|20|\N|\N|\N|\N|\N|\N
I03e08fae97416ebe5cdedcf238a06d1b90203c5d|stable/kilo|openstack/nova|36|\N|\N|\N|\N|\N|\N|\N
I03e08fae97416ebe5cdedcf238a06d1b90203c5d|master|openstack/nova|34|52|\N|\N|\N|\N|\N|\N
I03e1405e71f08db9ac6e759258625139c28ecc89|master|openstack/neutron|10|10|\N|\N|\N|\N|\N|\N
I03e9376d956c70ced60e5bee32b4598f7b34d0d5|master|openstack/nova|37|21|\N|\N|\N|\N|\N|\N
I03ed74e17dc9a4b9aa2ddcfbeb36a106a0f035f8|master|openstack/cinder|43|16|\N|\N|\N|\N|\N|\N
I03f12969e17f4d8694662bd3cbca034d90b57bb0|master|openstack/keystone|9|9|\N|\N|\N|\N|\N|\N
I03f56c9c84389a6d6cdb3a6863fcbfca486af337|stable/kilo|openstack/keystone|48|5|\N|\N|\N|\N|\N|\N
I03f56c9c84389a6d6cdb3a6863fcbfca486af337|master|openstack/keystone|6|3|\N|\N|\N|\N|\N|\N
I03f8cae05cc117e14f7482115de685fc9f3fa54a|master|openstack/cinder|15|20|8|\N|\N|\N|\N|\N
I04097be9f2da1d6bc45a2d5770bcd543a3f41887|master|openstack/cinder|15|10|\N|\N|\N|\N|\N|\N
I040b3a3c9e137267dfe237dd90fb525026b0d16e|feature/qos|openstack/neutron|21|27|\N|\N|\N|\N|\N|\N
I040cc4dbca4e9706309495ac78e0492d74e0bf62|master|openstack/neutron|17|16|\N|\N|\N|\N|\N|\N
I040d445007055b31561a592dd74b3e2ffaa9cd54|stable/kilo|openstack/glance|20|\N|\N|\N|\N|\N|\N|\N
I040f01b19ff5de00467b80be7399b998534d9a57|master|openstack/neutron|6|3|\N|\N|\N|\N|\N|\N
I040f76e0f624ae19733a2d243c1fcc4e9ca181c1|master|openstack/keystone|28|14|\N|\N|\N|\N|\N|\N
I042dd13e9eb0e9844ccd832d538cdac84359ed42|master|openstack/swift|2|10|\N|\N|\N|\N|\N|\N
I042e69b569ae6ad1cd4a4ebd2cf4db37be9213cf|master|openstack/nova|125|51|\N|\N|\N|\N|\N|\N
I04332d2acede8cdb430714cdb8b34d75b514fceb|master|openstack/keystone|11|\N|\N|\N|\N|\N|\N|\N
I04372cec81fde6ef06e9d7f2b59c1e47e15c0905|stable/juno|openstack/nova|4|30|\N|\N|\N|\N|\N|\N
I043a90f2f8addb8348b1842b13cec25d3c1015cb|stable/juno|openstack/neutron|3|32|\N|\N|\N|\N|\N|\N
I04416517e96582263f03f51d1a818f15cd2a9726|master|openstack/keystone|17|\N|\N|\N|\N|\N|\N|\N
I0447b62cc0afe5a10ecbc888dfb6608b69f977d2|master|openstack/cinder|2|19|18|\N|\N|\N|\N|\N
I04509843210dcedf98a0cd9e08fa07865c8a76de|master|openstack/nova|70|37|\N|\N|\N|\N|\N|\N
I0454a6c6a8c1dd49b0e369887883e2b45a778885|master|openstack/cinder|15|7|\N|\N|\N|\N|\N|\N
I045bc97b047dc18983757db052ad6e5bdad11329|master|openstack/keystone|5|6|\N|\N|\N|\N|\N|\N
