size, priority, comp, queue, S_Apple, S_Google, S_RIM, S_Intel, S_Igalia, R_Apple, R_Google, R_RIM, R_Intel, R_Igalia, s_exp, r_exp, obsolete, time, outcome,outcome,"loc,time,trans"
16,1,2,0,1,0,0,0,0,1,0,0,0,0,212,131,FALSE,160.9,1,r+,"16,160.9,r+"
4,1,1,0,0,1,0,0,0,0,0,0,0,0,29,82,FALSE,33.03333333,1,r+,"4,33.0333333333333,r+"
5,1,2,0,1,0,0,0,0,1,0,0,0,0,110,189,TRUE,87.15,1,r+,"5,87.15,r+"
5,1,2,0,1,0,0,0,0,1,0,0,0,0,115,190,FALSE,2815.766667,1,r+,"5,2815.76666666667,r+"
15,1,1,0,1,0,0,0,0,0,1,0,0,0,407,445,FALSE,960.7,1,r+,"15,960.7,r+"
1,1,1,2,1,0,0,0,0,1,0,0,0,0,120,290,FALSE,312.1833333,1,r+,"1,312.183333333333,r+"
24,1,1,0,1,0,0,0,0,0,1,0,0,0,150,688,FALSE,4.933333333,1,r+,"24,4.93333333333333,r+"
3,1,1,0,1,0,0,0,0,1,0,0,0,0,39,283,FALSE,3.666666667,1,r+,"3,3.66666666666667,r+"
2,1,1,0,1,0,0,0,0,0,1,0,0,0,557,649,FALSE,2391.5,1,r+,"2,2391.5,r+"
2,1,1,0,0,1,0,0,0,1,0,0,0,0,41,417,TRUE,25.5,1,r+,"2,25.5,r+"
2,1,1,0,0,1,0,0,0,1,0,0,0,0,43,420,TRUE,64.63333333,1,r+,"2,64.6333333333333,r+"
20,1,1,0,0,0,0,0,0,0,1,0,0,0,2,326,FALSE,122.5,1,r+,"20,122.5,r+"
7,1,1,0,0,1,0,0,0,0,1,0,0,0,172,149,TRUE,16.66666667,1,r+,"7,16.6666666666667,r+"
7,1,1,0,0,0,1,0,0,1,0,0,0,0,163,437,FALSE,2.85,1,r+,"7,2.85,r+"
4,1,1,0,0,1,0,0,0,0,1,0,0,0,695,907,TRUE,2.766666667,1,r+,"4,2.76666666666667,r+"
2,1,1,0,1,0,0,0,0,1,0,0,0,0,83,299,FALSE,0.916666667,1,r+,"2,0.916666666666667,r+"
7,1,1,0,0,1,0,0,0,0,1,0,0,0,67,334,FALSE,4680.6,1,r+,"7,4680.6,r+"
