ID|BRANCH|PROJECT|CREATEDON|P_CREATEDON|R_GRANTEDON|P_R_GRANTEDON|TIMEINSECOND|POSITIVITY
I00fdefa53376b9960a77c9e2ed27a7afe14f2f51|master|openstack/neutron|1373126799|06-JUL-13||||
I00fe72153973ed5bded35a71486493a52ad479a7|stable/juno|openstack/cinder|1421079221|12-JAN-15|1421114213|13-JAN-15|34992|-1
I00ff805cee9653508f013f8aa6d206362ac0f6cb|master|openstack/nova|1447790444|17-NOV-15|1447794555|17-NOV-15|4111|1
I01035055352f828306bc15bc4bf140451bef2418|master|openstack/nova|1475840743|07-OCT-16||||
I010535803f7d5c755b24418e1bee9d75892e3ce9|master|openstack/keystone|1440657461|27-AUG-15||||
I010aada6d6317d90310738d6fa3e6985ff0e0a53|master|openstack/nova|1459376365|30-MAR-16|1465948656|14-JUN-16|6572291|1
I010b2686ac750272ef47065be4baeb3537db3440|master|openstack/nova|1438441410|01-AUG-15||||
I010e85ff4c29171c4be6d7a7209dbf2d55da0b64|master|openstack/nova|1421822039|21-JAN-15|1425389190|03-MAR-15|3567151|1
I010ed2f784384e272599ec3139957989f8838e6f|master|openstack/cinder|1433454158|04-JUN-15|1433454665|04-JUN-15|507|1
I011086408d9d0804317ae4d2ff57369acd282356|master|openstack/nova|1473698694|12-SEP-16||||
I0111de79d9259ada3b1c06a087d0eaeb8f3cb158|master|openstack/neutron|1469257665|23-JUL-16|1469710337|28-JUL-16|452672|1
I01127105393496871fc4abd51ba94fa9b8d3defd|master|openstack/nova|1467789484|06-JUL-16||||
I01171c6d74c3b1897a6f63c2ad71fccdbc9d6fae|master|openstack/nova|1417539366|02-DEC-14||||
I0117a233afbd834a165ade9e1358f8dd38fbcfac|master|openstack/cinder|1467123863|28-JUN-16|1472109837|25-AUG-16|4985974|1
I011888f676ebc170e7285048b7e5a638a5a8c9a9|master|openstack/cinder|1421188227|13-JAN-15|1421190558|13-JAN-15|2331|1
I011e359b5b4d2abbf9bd749df81b3bad3b800614|master|openstack/neutron|1451569462|31-DEC-15||||
I011fe2c686128824d52e5a97d30e790c6398e25a|master|openstack/keystone|1425664537|06-MAR-15||||
I0121fe9da5831d6186bf7954271b79a8b3a60eba|master|openstack/nova|1457043177|03-MAR-16|1457435639|08-MAR-16|392462|1
I012409b219bda97c5341daeb9a4e1c26c553fd96|master|openstack/neutron|1422264918|26-JAN-15|1422510584|29-JAN-15|245666|1
I0125502eebecb1bd96a41ef2416214f0241eedbe|master|openstack/neutron|1461169174|20-APR-16|1463639471|19-MAY-16|2470297|1
I0125811e1afeccb5896c9bcb4447cd7fac58f247|master|openstack/glance|1419257478|22-DEC-14|1422980231|03-FEB-15|3722753|1
I01272d8dbacf0fcb8e3bc19286645eb8e4c856c7|master|openstack/nova|1421803015|21-JAN-15|1423131613|05-FEB-15|1328598|-1
I0129610d941d2fc9f4d813bde8bd89ee6766727d|master|openstack/glance|1446539315|03-NOV-15|1446541786|03-NOV-15|2471|1
I012b5fe4e95f166f66da91274734d7184c224dfd|feature/qos|openstack/neutron|1436371735|08-JUL-15|1436466790|09-JUL-15|95055|1
I012beec32adefc6ebea91f1a743270c4b337dbef|master|openstack/neutron|1448669144|28-NOV-15||||
I012c3759100b05b1c394b96de311217a8ae102f1|master|openstack/cinder|1440128293|21-AUG-15||||
I012dfb709622b2a48705d6a999856c7ae93a7ca2|master|openstack/neutron|1431464049|12-MAY-15||||
I013013d3cb20ec8db448d4f04666575a5a16f518|master|openstack/glance|1414672838|30-OCT-14||||
I01315fe6798eeebd7f5bf0c727dac780c9a1a12e|master|openstack/keystone|1463506331|17-MAY-16|1463530718|18-MAY-16|24387|1
I013976c6192a8bff891c9050f829ae7a1e2fec59|master|openstack/swift|1423894189|14-FEB-15|1424068315|16-FEB-15|174126|1
I013bfd618a8ff5c87fb960dd58d41af99bec6c4a|master|openstack/cinder|1425497208|04-MAR-15||||
I013f05b6eabd5e7cafa962d61ad5356f8bde45fc|master|openstack/nova|1453423977|22-JAN-16|1454699096|05-FEB-16|1275119|1
I0140375d513d8d6b9af9859299c7a2ed67f64af3|master|openstack/swift|1418347841|12-DEC-14||||
I0140ee7e49ffa39be07fe3f9a6ad24123be2a723|master|openstack/nova|1465242650|06-JUN-16|1466438804|20-JUN-16|1196154|1
I0141c53ba7324db847b77cfdea9887ce0cbf009a|master|openstack/cinder|1443595619|30-SEP-15||||
I01426a7db234655e4af6ba53985ac8e40a33ef00|master|openstack/cinder|1469806509|29-JUL-16|1470232421|03-AUG-16|425912|1
I014375a5ecfebc723541c2f2db6c2e0fba636aa2|master|openstack/nova|1426576611|17-MAR-15||||
I0146ec329f167c45efd2488a271896c003699862|master|openstack/cinder|1467711535|05-JUL-16|1474648188|23-SEP-16|6936653|-1
I014a18474ff79d48de469d7fc2a12c2e195ce22d|feature/pecan|openstack/neutron|1442337943|15-SEP-15|1442430074|16-SEP-15|92131|1
I014b5d244f7f17e74b41cadec95c74c8624944f3|master|openstack/nova|1469063357|21-JUL-16|1469656791|27-JUL-16|593434|1
I014e0119205d4a947a1be142aeeb29940c4de3bd|master|openstack/neutron|1440166723|21-AUG-15|1440430753|24-AUG-15|264030|1
I015143cdf99f2a3a3829d21525869babddc545ba|master|openstack/nova|1429175653|16-APR-15||||
I01524282cbaa25dc4b6dfa09f3f4723516cdba99|master|openstack/swift|1424967913|26-FEB-15|1429678018|22-APR-15|4710105|1
I01544931cc49b250b8224a593c64d7b59b576799|master|openstack/glance|1423498875|09-FEB-15|1425006299|27-FEB-15|1507424|1
I01549df7b99be84cd46b6f97a5fd62aec1f43275|master|openstack/neutron|1437659175|23-JUL-15|1440600323|26-AUG-15|2941148|1
I0155b3d8b72f6d031bf6f855488f80acebfc25d4|master|openstack/neutron|1434613499|18-JUN-15|1435700900|30-JUN-15|1087401|1
I01564734a915bb4334cfc3eb8ad363aabbbcdd93|feature/crypto|openstack/swift|1450134917|14-DEC-15|1460536557|13-APR-16|10401640|1
I015bfc0fde11ba4f39417e4c134faa8132cb3eac|master|openstack/neutron|1421839287|21-JAN-15|1425420278|03-MAR-15|3580991|1
I015c60cb9052f942ea88b911d707dfedb39bc4be|master|openstack/nova|1465282945|07-JUN-16|1465462222|09-JUN-16|179277|1
I015f4cbd4b396adcc4596218715e7b7c676444b6|master|openstack/nova|1474798255|25-SEP-16||||
I015f4f02df0c944ef967d221fcfe5b75e7153ab5|master|openstack/nova|1426197120|12-MAR-15||||
I016019885446bff6806268ab49cd5476d93ec61f|master|openstack/neutron|1473751233|13-SEP-16|1473890528|14-SEP-16|139295|1
I0160a78502e5c18d62fc9bb75a8eb33342091050|master|openstack/neutron|1423005437|03-FEB-15|1423088424|04-FEB-15|82987|1
I0162c2d7991b1040cce6fb24a057a09268d623a9|master|openstack/nova|1449527908|07-DEC-15|1455019386|09-FEB-16|5491478|-1
I0164110b657839a8bb382b08c393df105dc1864d|master|openstack/cinder|1471414537|17-AUG-16|1471437718|17-AUG-16|23181|1
I0168af34364343246a2855bdbd4a9f5ed5b05438|master|openstack/cinder|1449214264|04-DEC-15|1452872899|15-JAN-16|3658635|1
I016e22c857f520a7eb79e1ed5b36735a97f68b68|master|openstack/cinder|1426793733|19-MAR-15|1426797780|19-MAR-15|4047|1
I01706b69aac5ac3970913320ff717dc561ea4f8f|master|openstack/neutron|1436350137|08-JUL-15|1436797045|13-JUL-15|446908|1
I017194e7314458a493ccc942bef34209a902809e|master|openstack/nova|1457619810|10-MAR-16|1459849720|05-APR-16|2229910|1
I0172ced01bb4017d184f1d2091dba7444e59df8b|master|openstack/keystone|1389168231|08-JAN-14||||
I01732837cf5a54ecd04b00771bac92c9864cd3b0|master|openstack/nova|1465858227|13-JUN-16||||
I01732d5bb3d03c5256bf80d44e877b187f22679e|master|openstack/nova|1447755855|17-NOV-15|1453905461|27-JAN-16|6149606|1
I0173d397760bc17c01af792b4c4cc2bcbf45fedd|master|openstack/cinder|1465896600|14-JUN-16|1468786604|17-JUL-16|2890004|1
I0174398c492fdd5e53672dd0f654f220583b75d4|master|openstack/glance|1421319315|15-JAN-15|1422191563|25-JAN-15|872248|1
I017478fafa31121f40c95d73e49ac4dced80c7a2|master|openstack/nova|1467362723|01-JUL-16|1467639474|04-JUL-16|276751|1
I0176f498db89a3a10c2474e4ae5c4b0929c65ece|master|openstack/cinder|1432070547|19-MAY-15|1432871449|29-MAY-15|800902|1
I01796e4ff6cacbbdf57a0b1a8cc34101f8fdc0f8|master|openstack/keystone|1445355622|20-OCT-15|1445369702|20-OCT-15|14080|1
I0179a3616689f39d93c337c730283e21a01677cf|master|openstack/neutron|1471485596|18-AUG-16||||
I017a6dd334e2673072c977cc13b73e8cceb16712|master|openstack/neutron|1438126657|28-JUL-15|1438352016|31-JUL-15|225359|1
I017b0584972ca8832f3b160bbcdff335ae9a1aa6|master|openstack/swift|1460566777|13-APR-16|1461362332|22-APR-16|795555|1
I017bf749f426717dc76cf99a387102848fb1c541|master|openstack/nova|1428336678|06-APR-15|1429197356|16-APR-15|860678|1
I017c14e4d1229951e389a9e8d48384b54e197dd3|master|openstack/keystone|1451563867|31-DEC-15|1452693329|13-JAN-16|1129462|1
I0181808d3287b8efe7805ea6cc48c8abd2575499|master|openstack/cinder|1471447428|17-AUG-16|1472737941|01-SEP-16|1290513|1
I018232c03f5df2237a11b48ac877793d1cb5c1bf|/stable/mitaka|openstack/neutron|1458779157|24-MAR-16||||
I018232c03f5df2237a11b48ac877793d1cb5c1bf|master|openstack/neutron|1456744241|29-FEB-16|1458769524|23-MAR-16|2025283|1
I018232c03f5df2237a11b48ac877793d1cb5c1bf|stable/mitaka|openstack/neutron|1470063203|01-AUG-16|1470438633|05-AUG-16|375430|1
I0187c7ea633c3061322116a1019abb7f0df34ee3|master|openstack/cinder|1476801793|18-OCT-16||||
I018c3a408a8903be8d006760994de6947fb91168|master|openstack/nova|1454048315|29-JAN-16|1459300708|30-MAR-16|5252393|1
I018e800bc8d4e85d067aaae865c9b04bf030c980|master|openstack/neutron|1445033079|16-OCT-15|1445437900|21-OCT-15|404821|1
I018e800bc8d4e85d067aaae865c9b04bf030c980|stable/kilo|openstack/neutron|1445458417|21-OCT-15|1445504957|22-OCT-15|46540|1
I018e800bc8d4e85d067aaae865c9b04bf030c980|stable/liberty|openstack/neutron|1445447698|21-OCT-15|1445609117|23-OCT-15|161419|1
I0192ccef7e858fd0ff15c339f683abaabbdc09b7|master|openstack/nova|1466023726|15-JUN-16|1466691980|23-JUN-16|668254|1
I0195818b4ab30b59aa7eb0eca256de6a8cd878c8|master|openstack/cinder|1461741399|27-APR-16|1461750797|27-APR-16|9398|1
I0196a6f327c0147f897ae051ee60a8cb11b8fd40|master|openstack/glance|1424872586|25-FEB-15|1426186739|12-MAR-15|1314153|1
I01972cffb86721675d9947818f73a46defa24333|master|openstack/cinder|1449207843|04-DEC-15||||
I0198b13ac5cb0d13517655424999c175be2fc209|master|openstack/keystone|1427401503|26-MAR-15||||
I0198e35a6697cdafa9f46781b79b4935fbabc9bd|master|openstack/neutron|1469018254|20-JUL-16||||
I019a42610dfc083db1936ab6e552ebc85ca41fc6|master|openstack/neutron|1424377665|19-FEB-15||||
I019a5d96442802d89e9a152c0adf6030daab1a61|master|openstack/nova|1436206120|06-JUL-15|1436282781|07-JUL-15|76661|1
I019a5d96442802d89e9a152c0adf6030daab1a61|stable/kilo|openstack/nova|1453975701|28-JAN-16|1456931876|02-MAR-16|2956175|1
I019f921417d2bd5325141e8a6873ee934fdf3f49|master|openstack/swift|1447611979|15-NOV-15|1447706694|16-NOV-15|94715|1
I01a06c344361d44a728e8e75bc0b2ebee557e5f0|master|openstack/keystone|1467859816|07-JUL-16|1467876143|07-JUL-16|16327|1
